ano,id_municipio,rede,etapa,ideb
2023,1303569,estadual,EF anos iniciais,NA
2023,1400472,estadual,EF anos iniciais,NA
2023,1507102,estadual,EF anos iniciais,NA
2023,1715101,estadual,EF anos iniciais,NA
2023,1717909,estadual,EF anos iniciais,NA
2023,1718709,estadual,EF anos iniciais,NA
2023,1720200,estadual,EF anos iniciais,NA
2023,2100105,estadual,EF anos iniciais,NA
2023,2105807,estadual,EF anos iniciais,NA
2023,2210102,estadual,EF anos iniciais,NA
2023,2412609,estadual,EF anos iniciais,NA
2023,2509107,estadual,EF anos iniciais,NA
2023,2509305,estadual,EF anos iniciais,NA
2023,2512507,estadual,EF anos iniciais,NA
2023,2513901,estadual,EF anos iniciais,NA
2023,2516904,estadual,EF anos iniciais,NA
2023,2701902,estadual,EF anos iniciais,NA
2023,2904704,estadual,EF anos iniciais,NA
2023,2918001,estadual,EF anos iniciais,NA
2023,2926608,estadual,EF anos iniciais,NA
2023,3115607,estadual,EF anos iniciais,NA
2023,3130705,estadual,EF anos iniciais,NA
2023,3138351,municipal,EF anos iniciais,NA
2023,3149408,municipal,EF anos iniciais,NA
2023,3159100,estadual,EF anos iniciais,NA
2023,3303005,estadual,EF anos iniciais,NA
2023,4105409,estadual,EF anos iniciais,NA
2023,4204905,estadual,EF anos iniciais,NA
2023,4205001,estadual,EF anos iniciais,NA
2023,4304853,municipal,EF anos iniciais,NA
2023,4323309,estadual,EF anos iniciais,NA
2023,5002209,estadual,EF anos iniciais,NA
2023,5103254,estadual,EF anos iniciais,NA
2023,5205513,estadual,EF anos iniciais,NA
2023,5213103,estadual,EF anos iniciais,NA
2023,5214861,estadual,EF anos iniciais,NA
2023,1300201,municipal,EF anos finais,NA
2023,2101905,estadual,EF anos finais,NA
2023,2103901,estadual,EF anos finais,NA
2023,2107100,estadual,EF anos finais,NA
2023,2110500,estadual,EF anos finais,NA
2023,2301604,estadual,EF anos finais,NA
2023,2308377,estadual,EF anos finais,NA
2023,2311264,estadual,EF anos finais,NA
2023,2314102,estadual,EF anos finais,NA
2023,2400901,estadual,EF anos finais,NA
2023,2411908,estadual,EF anos finais,NA
2023,2500502,estadual,EF anos finais,NA
2023,2512804,estadual,EF anos finais,NA
2023,2514453,estadual,EF anos finais,NA
2023,2517100,estadual,EF anos finais,NA
2023,2603504,estadual,EF anos finais,NA
2023,2603702,estadual,EF anos finais,NA
2023,2605806,estadual,EF anos finais,NA
2023,2610004,estadual,EF anos finais,NA
2023,2704005,estadual,EF anos finais,NA
2023,2906824,estadual,EF anos finais,NA
2023,2907806,estadual,EF anos finais,NA
2023,2911501,estadual,EF anos finais,NA
2023,2922508,estadual,EF anos finais,NA
2023,2925303,estadual,EF anos finais,NA
2023,2929008,estadual,EF anos finais,NA
2023,3157252,municipal,EF anos finais,NA
2023,3162401,estadual,EF anos finais,NA
2023,3519055,municipal,EF anos finais,NA
2023,3540754,estadual,EF anos finais,NA
2023,3542206,municipal,EF anos finais,NA
2023,3550407,estadual,EF anos finais,NA
2023,4116901,municipal,EF anos finais,NA
2023,4217006,estadual,EF anos finais,NA
2023,4300661,municipal,EF anos finais,NA
2023,4310801,estadual,EF anos finais,NA
2023,4318432,estadual,EF anos finais,NA
2023,4320677,estadual,EF anos finais,NA
2023,5000906,municipal,EF anos finais,NA
2023,5103858,municipal,EF anos finais,NA
2023,1301902,federal,EM,NA
2023,2307601,federal,EM,NA
2023,2704500,federal,EM,NA
2023,2916500,municipal,EM,NA
2023,3121308,estadual,EM,NA
2023,3145901,federal,EM,NA
2023,3152501,municipal,EM,NA
2023,3304003,municipal,EM,NA
2023,3513504,federal,EM,NA
2023,4218103,estadual,EM,NA
2023,5005707,estadual,EM,NA
2023,5006408,estadual,EM,NA
2023,5200258,federal,EM,NA
2023,1101450,estadual,EF anos iniciais,NA
2023,1600212,municipal,EF anos iniciais,NA
2023,1715002,estadual,EF anos iniciais,NA
2023,1715259,estadual,EF anos iniciais,NA
2023,2107308,estadual,EF anos iniciais,NA
2023,2206902,estadual,EF anos iniciais,NA
2023,2206902,municipal,EF anos iniciais,NA
2023,2307700,estadual,EF anos iniciais,NA
