ano,id_municipio,rede,etapa,tdi,taxa_aprovacao,taxa_reprovacao,taxa_abandono,hrs_aula
2023,1100015,estadual,EF anos iniciais,2.2,53.266666666666666,4.3,34.733333333333334,0
2023,1100015,estadual,EF anos finais,8.6,84.6,4.3,6.5,60
2023,1100015,estadual,EM,NA,4.3,41.53333333333333,40.1,NA
2023,1100015,municipal,EF anos iniciais,18.1,97.73333333333333,4.333333333333333,24.53333333333333,NA
2023,1100015,municipal,EF anos finais,20.533333333333335,100,4.3,5.300000000000001,NA
2023,1100015,municipal,EM,NA,4.3,27.866666666666667,14.833333333333334,19.433333333333334
2023,1100023,estadual,EF anos iniciais,20.2,100,4.333333333333333,49.43333333333334,0
2023,1100023,estadual,EF anos finais,23.7,99.60000000000001,4.3,12.133333333333333,54.1
2023,1100023,estadual,EM,NA,4.3,19.1,31.8,NA
2023,1100023,federal,EF anos iniciais,NA,NA,NA,NA,NA
2023,1100023,federal,EF anos finais,NA,NA,NA,NA,NA
2023,1100023,federal,EM,NA,NA,0,NA,NA
2023,1100023,municipal,EF anos iniciais,24.400000000000002,98.6,4.3,24.033333333333335,0
2023,1100023,municipal,EF anos finais,23.133333333333333,98.93333333333334,4.333333333333333,1.0666666666666667,72.1
2023,1100023,municipal,EM,NA,4.3,47.166666666666664,14.133333333333333,24.366666666666667
2023,1100031,estadual,EF anos iniciais,NA,NA,4,63.36666666666667,0
2023,1100031,estadual,EF anos finais,NA,100,4.033333333333333,3.466666666666667,53.8
2023,1100031,estadual,EM,NA,4,25,18.3,NA
2023,1100031,municipal,EF anos iniciais,11.6,100,NA,0,NA
2023,1100031,municipal,EF anos finais,16.3,NA,NA,0,NA
2023,1100031,municipal,EM,NA,NA,25,NA,16
2023,1100049,estadual,EF anos iniciais,15.466666666666667,64.6,4.733333333333333,24.8,0
2023,1100049,estadual,EF anos finais,17.3,85.16666666666667,4.6,2.8333333333333335,47.8
2023,1100049,estadual,EM,NA,4.633333333333334,22.033333333333335,43.833333333333336,NA
2023,1100049,federal,EF anos iniciais,NA,NA,NA,NA,NA
2023,1100049,federal,EF anos finais,NA,NA,NA,NA,NA
2023,1100049,federal,EM,NA,NA,0,NA,NA
2023,1100049,municipal,EF anos iniciais,16.366666666666667,95.16666666666667,4.1,32.03333333333333,NA
2023,1100049,municipal,EF anos finais,19.1,94.76666666666667,4.1,2.433333333333333,NA
2023,1100049,municipal,EM,NA,4.1,37.56666666666666,14.366666666666667,17.299999999999997
2023,1100056,estadual,EF anos iniciais,24.5,100,4,30,0
2023,1100056,estadual,EF anos finais,25.5,100,4,15,58.8
2023,1100056,estadual,EM,NA,4,100,45.7,NA
2023,1100056,municipal,EF anos iniciais,20.1,100,NA,0,NA
2023,1100056,municipal,EF anos finais,20.6,NA,NA,0,NA
2023,1100056,municipal,EM,NA,NA,28.6,NA,21
2023,1100064,estadual,EF anos iniciais,NA,NA,4.1,50,0
2023,1100064,estadual,EF anos finais,NA,100,4,7.9,71.4
2023,1100064,estadual,EM,NA,4.1,0,39.5,NA
2023,1100064,federal,EF anos iniciais,NA,NA,NA,NA,NA
2023,1100064,federal,EF anos finais,NA,NA,NA,NA,NA
